wpcf-a570,wpcf-a195,wpcf-a572,post_type,lng,id,post_author,wpcf-a175,wpcf-a174,wpcf-a177,wpcf-a176,ibge,wpcf-a173,wpcf-a172,post_status,wpcf-a179,wpcf-a178,wpcf-a188,wpcf-a180,wpcf-a181,wpcf-a182,wpcf-a183,wpcf-a184,wpcf-a185,wpcf-a186,wpcf-a187,lat,wpcf-a569,comment_status,wpcf-a167,wpcf-a164,post_title,wpcf-a489,wpcf-a168,wpcf-a169
Viana,Não,65888,municipio,-40.4956243354911,,320510,Sim,Sim,Não,Sim,320510,Sim,Sim,publish,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,-20.3908625111662,ES,open,Sim,Próprio,Viana - ES,Sim,Sim,Sim
Vila Pavão,Sim,8699,municipio,-40.6024114108213,,320515,Sim,Sim,Sim,Sim,320515,Sim,Sim,publish,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-18.620803452346,ES,open,Sim,Integrado ao sistema estadual de ensino,Vila Pavão - ES,Sim,Sim,Sim
Vila Valério,Não,13827,municipio,-40.3905897774138,,320517,Não aplicável,Não aplicável,Não aplicável,Não aplicável,320517,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Sim,Sim,-18.9936174389143,ES,open,Não,Integrado ao sistema estadual de ensino,Vila Valério - ES,Não,Não,Não
Vila Velha,Não,419854,municipio,-40.2939566369471,,320520,Sim,Sim,Não,Sim,320520,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-20.3383741042139,ES,open,Sim,Próprio,Vila Velha - ES,Não,Não,Sim
Vitória,Sim,330526,municipio,-40.3222087267266,,320530,Não aplicável,Não aplicável,Não aplicável,Não aplicável,320530,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-20.3201537928533,ES,open,Sim,Próprio,Vitória - ES,Sim,Sim,Sim
Angra dos Reis,Sim,173370,municipio,-44.3196272622666,,330010,Sim,Sim,Sim,Sim,330010,Sim,Sim,publish,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,-23.0091159352755,RJ,open,Sim,Próprio,Angra dos Reis - RJ,Não,Sim,Sim
Aperibé,Não,10382,municipio,-42.1049166541126,,330015,Sim,Sim,Não,Sim,330015,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Sim,Não,-21.6194217697861,RJ,open,Sim,Próprio,Aperibé - RJ,Não,Sim,Sim
Araruama,Não,114250,municipio,-42.3410960231634,,330020,Sim,Sim,Sim,Sim,330020,Sim,Sim,publish,Não,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,-22.8774383873544,RJ,open,Sim,Próprio,Araruama - RJ,Não,Sim,Sim
Areal,Sim,11540,municipio,-43.1010698051683,,330022,Sim,Sim,Sim,Sim,330022,Sim,Sim,publish,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,-22.2369120035668,RJ,open,Sim,Próprio,Areal - RJ,Não,Não,Sim
Armação dos Búzios,Não,28279,municipio,-41.8877494680881,,330023,Sim,Sim,Sim,Sim,330023,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-22.7577637929238,RJ,open,Sim,Próprio,Armação dos Búzios - RJ,Não,Sim,Sim
Arraial do Cabo,Sim,28010,municipio,-42.0283359676368,,330025,Sim,Sim,Sim,Não,330025,Sim,Sim,publish,Não,Sim,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-22.967638277584,RJ,open,Sim,Próprio,Arraial do Cabo - RJ,Não,Sim,Sim
Barra do Piraí,Não,95260,municipio,-43.8284524538255,,330030,Sim,Sim,Sim,Sim,330030,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-22.469596292124,RJ,open,Sim,Próprio,Barra do Piraí - RJ,Não,Sim,Sim
Barra Mansa,Não,178355,municipio,-44.1724313736866,,330040,Não aplicável,Não aplicável,Não aplicável,Não aplicável,330040,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-22.5453011339305,RJ,open,Sim,Próprio,Barra Mansa - RJ,Sim,Sim,Sim
Belford Roxo,Sim,472008,municipio,-43.3996249708152,,330045,Não aplicável,Não aplicável,Não aplicável,Não aplicável,330045,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Não,-22.7645559675461,RJ,open,Não,Próprio,Belford Roxo - RJ,Não,Sim,Sim
Bom Jardim,Não,25539,municipio,-42.4172114822868,,330050,Não aplicável,Não aplicável,Não aplicável,Não aplicável,330050,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Não,Sim,-22.1533052283079,RJ,open,Sim,Próprio,Bom Jardim - RJ,Não,Sim,Sim
Bom Jesus do Itabapoana,Sim,35546,municipio,-41.6776797949817,,330060,Não aplicável,Não aplicável,Não aplicável,Não aplicável,330060,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Não,Sim,-21.1344974418774,RJ,open,Sim,Próprio,Bom Jesus do Itabapoana - RJ,Sim,Não,Não
Cabo Frio,Não,190787,municipio,-42.0200748019026,,330070,Sim,Sim,Sim,Sim,330070,Sim,Sim,publish,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,-22.880764667133,RJ,open,Sim,Próprio,Cabo Frio - RJ,Sim,Sim,Sim
Cachoeiras de Macacu,Não,54713,municipio,-42.6631643572627,,330080,Não aplicável,Não aplicável,Não aplicável,Não aplicável,330080,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-22.4675708722497,RJ,open,Sim,Próprio,Cachoeiras de Macacu - RJ,Sim,Sim,Sim
Cambuci,Sim,14840,municipio,-41.9086360046562,,330090,Não,Sim,Não,Não,330090,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Não,Não,-21.5772767096589,RJ,open,Sim,Integrado ao sistema estadual de ensino,Cambuci - RJ,Não,Sim,Sim
Carapebus,Não,13697,municipio,-41.6640105958578,,330093,Sim,Sim,Não,Não,330093,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Sim,Sim,-22.1825947273674,RJ,open,Sim,Integrado ao sistema estadual de ensino,Carapebus - RJ,Sim,Sim,Sim
Comendador Levy Gasparian,Sim,8200,municipio,-43.2172237155871,,330095,Sim,Sim,Sim,Sim,330095,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,-22.0333589383828,RJ,open,Sim,Próprio,Comendador Levy Gasparian - RJ,Sim,Sim,Não
Campos dos Goytacazes,Não,468087,municipio,-41.3304764918626,,330100,Sim,Sim,Sim,Sim,330100,Sim,Sim,publish,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Não,Sim,-21.7518986320641,RJ,open,Sim,Próprio,Campos dos Goytacazes - RJ,Não,Sim,Não
Cantagalo,Não,19830,municipio,-42.365977599021,,330110,Sim,Sim,Não,Não,330110,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-21.9818398587921,RJ,open,Não,Próprio,Cantagalo - RJ,Não,Não,Não
Cardoso Moreira,Sim,12601,municipio,-41.6132963462101,,330115,Não aplicável,Não aplicável,Não aplicável,Não aplicável,330115,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-21.4961573566676,RJ,open,Sim,Integrado ao sistema estadual de ensino,Cardoso Moreira - RJ,Sim,Sim,Sim
Carmo,Não,17599,municipio,-42.6097176406817,,330120,Não,Sim,Não,Sim,330120,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Não,Sim,-21.9293117801394,RJ,open,Sim,Integrado ao sistema estadual de ensino,Carmo - RJ,Não,Sim,Sim
Casimiro de Abreu,Não,36360,municipio,-42.204210544431,,330130,Não,Sim,Não,Sim,330130,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-22.4795365025548,RJ,open,Sim,Próprio,Casimiro de Abreu - RJ,Não,Sim,Sim
Conceição de Macabu,Não,21416,municipio,-41.8677585057148,,330140,Sim,Sim,Não,Não,330140,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Não,Sim,-22.0878715265254,RJ,open,Não,Próprio,Conceição de Macabu - RJ,Não,Sim,Sim
Cordeiro,Não,20571,municipio,-42.3630305379077,,330150,Não aplicável,Não aplicável,Não aplicável,Não aplicável,330150,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Não,-22.0277765631233,RJ,open,Não,Integrado ao sistema estadual de ensino,Cordeiro - RJ,Não,Sim,Sim
Duas Barras,Sim,10976,municipio,-42.515097631467,,330160,Não,Sim,Sim,Sim,330160,Sim,Sim,publish,Não,Sim,Sim,Não,Não,Não,Sim,Não,Sim,Não,Sim,-22.0589060899401,RJ,open,Sim,Próprio,Duas Barras - RJ,Não,Sim,Sim
Duque de Caxias,Não,861158,municipio,-43.3098880717226,,330170,Sim,Sim,Não,Sim,330170,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-22.7852532496542,RJ,open,Sim,Próprio,Duque de Caxias - RJ,Não,Sim,Sim
Engenheiro Paulo de Frontin,Não,13324,municipio,-43.6794768289526,,330180,Sim,Sim,Não,Sim,330180,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Não,Sim,-22.5436846647273,RJ,open,Sim,Próprio,Engenheiro Paulo de Frontin - RJ,Não,Sim,Sim
Guapimirim,Sim,52522,municipio,-42.9783297043207,,330185,Sim,Sim,Não,Sim,330185,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-22.5195957941239,RJ,open,Sim,Próprio,Guapimirim - RJ,Não,Sim,Sim
Iguaba Grande,Não,23475,municipio,-42.2221245423239,,330187,Sim,Sim,Sim,Sim,330187,Sim,Sim,publish,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,-22.8390569836941,RJ,open,Não,Próprio,Iguaba Grande - RJ,Sim,Sim,Sim
Itaboraí,Não,220352,municipio,-42.8603434261964,,330190,Sim,Sim,Sim,Sim,330190,Sim,Sim,publish,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Não,Sim,-22.7458630174263,RJ,open,Sim,Próprio,Itaboraí - RJ,Não,Sim,Sim
