wpcf-a570,wpcf-a195,wpcf-a572,post_type,lng,id,post_author,wpcf-a175,wpcf-a174,wpcf-a177,wpcf-a176,ibge,wpcf-a173,wpcf-a172,post_status,wpcf-a179,wpcf-a178,wpcf-a188,wpcf-a180,wpcf-a181,wpcf-a182,wpcf-a183,wpcf-a184,wpcf-a185,wpcf-a186,wpcf-a187,lat,wpcf-a569,comment_status,wpcf-a167,wpcf-a164,post_title,wpcf-a489,wpcf-a168,wpcf-a169
Turvolândia,Não,4690,municipio,-45.796735792709,,316980,Não,Sim,Não,Não,316980,Sim,Sim,publish,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,-21.8793890056639,MG,open,Sim,Integrado ao sistema estadual de ensino,Turvolândia - MG,Não,Sim,Sim
Ubá,Não,102782,municipio,-42.936786464392,,316990,Não,Sim,Não,Não,316990,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Não,Sim,-21.1185969514978,MG,open,Não,Integrado ao sistema estadual de ensino,Ubá - MG,Não,Não,Sim
Ubaí,Não,11751,municipio,-44.7870862054941,,317000,Sim,Não,Não,Sim,317000,Sim,Sim,publish,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,-16.2974045209459,MG,open,Sim,Integrado ao sistema estadual de ensino,Ubaí - MG,Sim,Sim,Sim
Ubaporanga,Não,12068,municipio,-42.1092163270909,,317005,Sim,Sim,Não,Sim,317005,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Não,-19.6413620049211,MG,open,Sim,Integrado ao sistema estadual de ensino,Ubaporanga - MG,Não,Não,Não
Uberaba,Não,299361,municipio,-47.9836248955742,,317010,Sim,Sim,Sim,Sim,317010,Sim,Sim,publish,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,-19.7135346071021,MG,open,Sim,Próprio,Uberaba - MG,Sim,Sim,Sim
Uberlândia,Sim,611904,municipio,-48.2779501847345,,317020,Não aplicável,Não aplicável,Não aplicável,Não aplicável,317020,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-18.9189986093056,MG,open,Sim,Próprio,Uberlândia - MG,Não,Sim,Sim
Umburatiba,Sim,2693,municipio,-40.5726450205228,,317030,Não aplicável,Não aplicável,Não aplicável,Não aplicável,317030,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Sim,Não,-17.2536072102915,MG,open,Não,Integrado ao sistema estadual de ensino,Umburatiba - MG,Não,Sim,Sim
Unaí,Não,78144,municipio,-46.899956595285,,317040,Sim,Sim,Sim,Sim,317040,Sim,Sim,publish,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,-16.3590084924977,MG,open,Sim,Integrado ao sistema estadual de ensino,Unaí - MG,Não,Sim,Sim
União de Minas,Não,4402,municipio,-50.3308029413544,,317043,Não aplicável,Não aplicável,Não aplicável,Não aplicável,317043,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Sim,Sim,-19.5297366441285,MG,open,Não,Integrado ao sistema estadual de ensino,União de Minas - MG,Não,Sim,Sim
Uruana de Minas,Sim,3233,municipio,-46.2562288734466,,317047,Sim,Sim,Sim,Sim,317047,Sim,Sim,publish,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Não,-16.0600251971288,MG,open,Sim,Integrado ao sistema estadual de ensino,Uruana de Minas - MG,Não,Sim,Sim
Urucânia,Não,10285,municipio,-42.7412284517106,,317050,Sim,Sim,Não,Sim,317050,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Sim,-20.3508704157197,MG,open,Sim,Integrado ao sistema estadual de ensino,Urucânia - MG,Não,Sim,Não
